x1,x2,x3,x4,x5,x6,y3
100.5,30,506.8,115.5,246.2,167.2,17
103.2,19.2,502.5,110,230,171,16
101,29.8,508.2,116.5,249,167.2,15
104.2,28.2,500.8,108.5,231,171.2,15
99,19,506,110.2,230.5,171,15
97.8,16.2,506.2,109.2,230,172,14
102,16.5,504.8,110,231.5,173,13
104,16,504.8,111,232,171.5,13
106,24,500,110.2,232.2,170,13
105,29,506,116,246,167.5,16
106,29.8,505.2,105.8,243.8,166,15
100.5,30,506.8,115.5,246.2,167.2,17
102,23.5,501.2,109,231,170.5,14
108,20,501,109.5,228.2,171,14
104.2,28.2,500.8,108.5,231,171.2,15
97,28,510,105.2,228.8,166,15
102,17,499,107.5,227.2,169,14
107,19.8,510.5,113.5,238.2,169.5,18
103.8,13,508.2,109.2,232,169.8,16
104.8,15.2,499.2,109.5,227.5,172.5,14
102,16.5,504.8,110,231.5,173,13
106,29.8,505.2,105.8,243.8,166,13
106,29.8,505.2,105.8,243.8,166,14
103.2,19.2,502.5,110,230,171,15
99,19,506,110.2,230.5,171,15
103.8,28.8,508.8,105.5,240.8,166,15
102,23.5,501.2,109,231,170.5,13
97.5,28,507,105.8,231.2,165.5,15
103.5,18.5,498.8,109.5,231.2,169.8,13
106,29.8,505.2,105.8,243.8,166,14
97.8,16.2,506.2,109.2,230,172,14
103.5,18.5,498.8,109.5,231.2,169.8,13
104,16,504.8,111,232,171.5,14
104,22,500.5,109,228.8,171.2,13
97.5,28,507,105.8,231.2,165.5,14
102,17,499,107.5,227.2,169,13
104.2,28.2,500.8,108.5,231,171.2,13
103.5,29,508.8,114,243.8,166,15
103,19.5,497.8,110.5,230.2,171,14
104,30,507.2,117.2,246.5,167.2,16
108,20,501,109.5,228.2,171,13
105.2,24,500,110.2,231.5,169.8,14
109.2,18.2,501,110.5,231.2,171.5,12
104,16,504.8,111,232,171.5,14
103.2,28.2,510,105,242.8,171,16
101.2,25.2,509,113,246.5,166,15
102,16.5,504.8,110,231.5,173,14
103.8,13,508.2,109.2,232,169.8,14
99.5,16.2,504.8,108.5,229.8,171,14
107,19.8,510.5,113.5,238.2,169.5,18
103.8,29.8,508.2,116.8,248.8,165.8,14
109.2,18.2,501,110.5,231.2,171.5,13
103.5,29,508.8,114,243.8,166,16
103.2,28.2,510,105,242.8,171,16
104,22,500.5,109,228.8,171.2,13
104.8,15.2,499.2,109.5,227.5,172.5,12
103.8,28.8,508.8,105.5,240.8,166,15
103.2,19.2,502.5,110,230,171,15
102.8,30.8,508.2,106,243.5,166,16
97.8,16.2,506.2,109.2,230,172,14
103.2,19.2,502.5,110,230,171,15
110,19,498.2,111.8,232,172.5,12
105,29,506,116,246,167.5,15
103.8,28.8,508.8,105.5,240.8,166,14
103.5,18.5,498.8,109.5,231.2,169.8,18.13665693
100.5,30,506.8,115.5,246.2,167.2,21.13665693
101,30,509,115.8,244.8,167,18.13665693
103,19.5,497.8,110.5,230.2,171,17.13665693
106,29.8,505.2,105.8,243.8,166,19.13665693
109,20.8,500,110.5,230.5,171.2,17.13665693
109.2,18.2,501,110.5,231.2,171.5,17.13665693
103.2,28.2,510,105,242.8,171,21.13665693
104.8,15.2,499.2,109.5,227.5,172.5,17.13665693
103.8,13,508.2,109.2,232,169.8,20.13665693
103.8,29.8,508.2,116.8,248.8,165.8,17.13665693
103.8,28.8,508.8,105.5,240.8,166,18.13665693
105.5,20.8,504,110.8,231,171.2,22.27331386
99,19,506,110.2,230.5,171,22.27331386
101,29.8,508.2,116.5,249,167.2,23.27331386
103.2,28.2,510,105,242.8,171,23.27331386
97,28,510,105.2,228.8,166,23.27331386
103.8,28.8,506.2,116.5,248,167,22.27331386
104.8,15.2,499.2,109.5,227.5,172.5,21.27331386
99,19,506,110.2,230.5,171,22.27331386
103.8,28.8,508.8,105.5,240.8,166,22.27331386
103.2,28.2,510,105,242.8,171,24.27331386
103.5,18.5,498.8,109.5,231.2,169.8,21.27331386
103.5,18.5,498.8,109.5,231.2,169.8,22.27331386
102,17,499,107.5,227.2,169,21.27331386
106,24,500,110.2,232.2,170,20.27331386
102.8,30.8,508.2,106,243.5,166,28.40997079
106,29.8,505.2,105.8,243.8,166,27.40997079
103.8,28.8,506.2,116.5,248,167,27.40997079
97,28,510,105.2,228.8,166,27.40997079
104.2,28.2,500.8,108.5,231,171.2,27.40997079
109,20.8,500,110.5,230.5,171.2,24.40997079
101,29.8,508.2,116.5,249,167.2,28.40997079
103.5,27,510.5,104.5,243.5,171,29.40997079
103,19.5,497.8,110.5,230.2,171,24.40997079
108,20,501,109.5,228.2,171,26.40997079
102,17,499,107.5,227.2,169,26.40997079
109.2,18.2,501,110.5,231.2,171.5,25.40997079
109.2,18.2,501,110.5,231.2,171.5,24.40997079
101,29.8,508.2,116.5,249,167.2,29.40997079
